Institute,Course,State,Category,Quota,Course_Type,Institute_Type,Annual_Fees,Stipend_Year1,Bond_Years,Bond_Amount,Total_Beds
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"ANDHRA MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1030.0
"APOLLO IMSR, CHITTOOR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Private,496800.0,30000.0,1.0,4000000.0,850.0
"APOLLO IMSR, CHITTOOR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Private,496800.0,30000.0,1.0,4000000.0,850.0
"APOLLO IMSR, CHITTOOR",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Private,496800.0,30000.0,1.0,4000000.0,850.0
"APOLLO IMSR, CHITTOOR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Private,496800.0,30000.0,1.0,4000000.0,850.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"DR PSI MED COLL, CHINOUTPALLI",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,28000.0,1.0,4000000.0,790.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT MED COLL, ANANTHAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,500.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GOVT SIDDHARTHA, VIJAYWADA",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Government,48600.0,60823.0,1.0,4000000.0,707.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GREATEASTERN MEDSCH,SRIKAKULAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,780.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GSL MED COLL, RAJAHMUNDRY",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,1140.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GUNTUR MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1170.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"GVP MED COLL, VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,750.0
"HOMI BHABHA CANCERHOSP,VIZAG",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,105500.0,100800.0,1.0,2500000.0,100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KATURI MED COLL, GUNTUR",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,1100.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KONASEEMA IMS, AMALAPURAM",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,496800.0,30000.0,1.0,4000000.0,840.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,ST,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,OBC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"KURNOOL MED COLL, KURNOOL",ANAESTHESIOLOGY,ANDHRA PRADESH,SC,State Government,Clinical,Unknown,48600.0,60823.0,1.0,4000000.0,1150.0
"MAHARAJAH IMS, VIZIANAGARAM",ANAESTHESIOLOGY,ANDHRA PRADESH,GENERAL,State Government,Clinical,Unknown,496800.0,,1.0,4000000.0,850.0
