QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2024 8,CR 2025 1,Column-22,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",8466,9218,8384,8728,8728,-,-,-,-,-,6985,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",7250,7250,8766,8766,8766,-,-,-,-,-,5546,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",10095,10987,8801,8801,8801,-,-,-,-,-,6876,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",6157,10095,6294,8853,8853,-,-,-,-,-,5130,,,,,,,,
MAHA-Govt-AllW,NT2,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",12568,12568,9034,9034,9034,-,-,-,-,-,4597,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",9758,9758,7366,9125,9125,-,-,-,-,-,6221,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",-,-,9172,9172,9172,-,-,-,-,-,10719,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",5298,7527,4481,5276,9230,-,-,-,-,-,3115,,,,,,,,
MAHA-Govt-DefenseW,DEF1,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",2467,2467,9309,9309,9309,-,-,-,-,-,1115,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",7283,9663,6366,8327,9378,-,-,-,-,-,5108,,,,,,,,
MAHA-Govt-Defense,DEF1,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",6500,6500,9508,9508,9508,-,-,-,-,-,9179,,,,,,,,
MAHA-Govt-All,VJA,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",26678,26678,9335,9549,9549,-,-,-,-,-,13332,,,,,,,,
MAHA-Govt-AllW,EWS,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",8071,8071,9684,9684,9684,-,-,-,-,-,17010,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",8199,10662,6867,8662,9704,-,-,-,-,-,5847,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",9113,11003,7472,9357,9751,-,-,-,-,-,6139,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",11881,11881,9906,9906,9906,-,-,-,-,-,6902,,,,,,,,
MAHA-Govt-Defense,DEF3,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",-,-,10189,10189,10189,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",-,-,9780,10584,10584,-,-,-,-,-,15109,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",10987,13917,10650,10650,10650,-,-,-,-,-,8227,,,,,,,,
MAHA-Govt-HillyArea,OPEN,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",8261,10223,11001,11001,11001,-,-,-,-,-,2076,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",-,-,9324,9324,11318,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,NT2,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",7449,7449,5017,11340,11340,-,-,-,-,-,3871,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",MBBS,"₹ 1,58,600",500,1,"₹ 10,00,000","₹ 18,000",10320,12317,8246,11379,11379,-,-,-,-,-,7370,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",11211,11211,11541,12989,11541,-,-,-,-,-,9491,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",-,-,11724,11724,11724,-,-,-,-,-,14410,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Govt Med Coll, Nagpur",MBBS,"₹ 1,58,600",1866,1,"₹ 10,00,000","₹ 18,000",11229,12472,8062,11981,11981,-,-,-,-,-,7318,,,,,,,,
MAHA-Govt-All,SEBC,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",-,-,12069,12069,12069,-,-,-,-,-,11930,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",9131,10291,9333,12073,12073,-,-,-,-,-,6210,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Govt Med Coll, Mumbai",MBBS,"₹ 1,58,600",1026,1,"₹ 10,00,000","₹ 18,000",-,-,8989,12172,12172,-,-,-,-,-,7500,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Govt Med Coll, Mumbai",MBBS,"₹ 1,58,600",1026,1,"₹ 10,00,000","₹ 18,000",-,-,9210,11731,12353,-,-,-,-,-,6849,,,,,,,,
MAHA-Govt-All,EWS,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",7303,7303,12545,12545,12545,-,-,-,-,-,10766,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",MBBS,"₹ 1,58,600",500,1,"₹ 10,00,000","₹ 18,000",10869,13763,8634,12004,12568,-,-,-,-,-,7921,,,,,,,,
MAHA-Govt-All,VJA,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",13272,13272,12659,12659,12659,-,-,-,-,-,16765,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",12031,12460,12026,12472,12989,-,-,-,-,-,10720,,,,,,,,
MAHA-Govt-Defense,DEF2,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",9884,24532,13018,13018,13018,-,-,-,-,-,22678,,,,,,,,
MAHA-Govt-AllW,NT1,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",3250,3250,13040,13040,13040,-,-,-,-,-,12047,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",13568,13890,13221,13221,13221,-,-,-,-,-,11965,,,,,,,,
MAHA-Govt-AllW,NT3,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",9377,9377,13333,13333,13333,-,-,-,-,-,8178,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,13195,13467,13467,-,-,-,-,-,17579,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",13521,14186,12965,13580,13580,-,-,-,-,-,12399,,,,,,,,
MAHA-Govt-AllW,EWS,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",10196,10196,13655,13655,13655,-,-,-,-,-,13196,,,,,,,,
MAHA-Govt-HillyAreaW,NT3,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,13867,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-All,NT1,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",8824,16278,13899,13899,13899,-,-,-,-,-,5849,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",14221,15963,13860,14085,14085,-,-,-,-,-,12884,,,,,,,,
MAHA-Govt-HillyArea,VJA,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,14152,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",12460,15161,12654,14173,14173,-,-,-,-,-,14951,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,14224,14224,14224,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-HillyAreaW,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",16041,16041,-,-,14306,-,-,-,-,-,7563,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Govt Med Coll, Nagpur",MBBS,"₹ 1,58,600",1866,1,"₹ 10,00,000","₹ 18,000",15777,15777,14405,14405,14405,-,-,-,-,-,16055,,,,,,,,
MAHA-Govt-AllW,NT3,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",22578,22578,14492,14492,14492,-,-,-,-,-,14307,,,,,,,,
MAHA-Govt-HillyArea,EWS,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",6667,6667,-,-,14495,-,-,-,-,-,12858,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",7030,9633,6140,9133,14751,-,-,-,-,-,4699,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",5544,7455,5228,7574,14809,-,-,-,-,-,2954,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Govt Med Coll, Nagpur",MBBS,"₹ 1,58,600",1866,1,"₹ 10,00,000","₹ 18,000",16901,16938,14940,15059,15059,-,-,-,-,-,15590,,,,,,,,
MAHA-Govt-All,VJA,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",24207,24207,9549,15070,15070,-,-,-,-,-,20685,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",13022,15027,13163,13603,15159,-,-,-,-,-,9622,,,,,,,,
MAHA-Govt-AllW,SEBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",-,-,12367,15256,15256,-,-,-,-,-,16258,,,,,,,,
MAHA-Govt-AllW,NT2,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",24122,24122,15275,15275,15275,-,-,-,-,-,17197,,,,,,,,
MAHA-Govt-All,VJA-PH,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,15320,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",13496,13651,15338,15338,15338,-,-,-,-,-,9878,,,,,,,,
MAHA-Govt-All,NT1,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",28454,28454,15451,15451,15451,-,-,-,-,-,18729,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",10289,10289,13893,15463,15463,-,-,-,-,-,9035,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",15759,17193,15514,15690,15690,-,-,-,-,-,15135,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",16539,16539,15884,15884,15884,-,-,-,-,-,5535,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",15765,15853,15239,15995,15995,-,-,-,-,-,14392,,,,,,,,
MAHA-Govt-All,SEBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",-,-,10738,12657,16062,-,-,-,-,-,12408,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",10950,16585,5963,16128,16128,-,-,-,-,-,7721,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Govt Med Coll, Baramati",MBBS,"₹ 1,58,600",310,1,"₹ 10,00,000","₹ 18,000",18749,21552,15647,16130,16170,-,-,-,-,-,11360,,,,,,,,
MAHA-Govt-HillyAreaW,NT3,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,16323,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-HillyAreaW,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",-,-,-,-,16337,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-AllW,NT2,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",22559,22559,16370,16370,16370,-,-,-,-,-,8818,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"Topiwala, Mumbai",MBBS,"₹ 1,58,600",1300,1,"₹ 10,00,000","₹ 18,000",7623,10602,5951,8930,16549,-,-,-,30233,-,4773,,,,,,,,
MAHA-Govt-AllW,NT1,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",57371,57371,16592,16592,16592,-,-,-,-,-,39304,,,,,,,,
MAHA-Govt-All,VJA,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",37429,37429,15070,16626,16626,-,-,-,-,-,33096,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Govt Med Coll, Baramati",MBBS,"₹ 1,58,600",310,1,"₹ 10,00,000","₹ 18,000",18726,21071,13817,15941,16733,-,-,-,-,-,9314,,,,,,,,
MAHA-Govt-All,EWS,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",9225,10093,16817,16817,16817,-,-,-,-,-,15229,,,,,,,,
MAHA-Govt-DefenseW,DEF1,Maharashtra,"BJMC, Pune",MBBS,"₹ 1,58,600",1296,1,"₹ 10,00,000","₹ 18,000",342,342,16854,16854,16854,-,-,-,-,-,8776,,,,,,,,
MAHA-Govt-AllW,VJA,Maharashtra,"Seth GS, Mumbai",MBBS,"₹ 1,58,600",2250,1,"₹ 10,00,000","₹ 18,000",10491,10491,16947,16947,16947,-,-,-,-,-,8419,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Govt Med Coll, Nagpur",MBBS,"₹ 1,58,600",1866,1,"₹ 10,00,000","₹ 18,000",12198,12198,17048,17048,17048,-,-,-,-,-,10106,,,,,,,,
MAHA-Govt-AllW,OBC,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",20282,20282,16896,17072,17072,-,-,-,-,-,18131,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",MBBS,"₹ 1,58,600",822,1,"₹ 10,00,000","₹ 18,000",15221,18864,14352,16634,17129,34501,-,-,-,-,12550,,,,,,,,
MAHA-Govt-HillyArea,OBC,Maharashtra,"Govt Med Coll, Nagpur",MBBS,"₹ 1,58,600",1866,1,"₹ 10,00,000","₹ 18,000",16382,16382,-,-,17314,-,-,-,-,-,21796,,,,,,,,
MAHA-Govt-All,EWS-PH,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",782445,762191,1079263,-,17369,-,-,-,-,-,645153,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,"₹ 1,58,600",1462,1,"₹ 10,00,000","₹ 18,000",16335,16335,17429,17429,17429,-,-,-,-,-,13333,,,,,,,,
MAHA-Govt-All,NT3,Maharashtra,"Govt Med Coll, Baramati",MBBS,"₹ 1,58,600",310,1,"₹ 10,00,000","₹ 18,000",20982,20982,15896,17650,17650,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-HillyArea,NT2,Maharashtra,"Grant Med Coll, Mumbai",MBBS,"₹ 1,58,600",2844,1,"₹ 10,00,000","₹ 18,000",-,-,17690,17690,17690,-,-,-,-,-,-,,,,,,,,
MAHA-Govt-All,SEBC,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",-,-,12585,12585,18115,-,-,-,-,-,13902,,,,,,,,
MAHA-Govt-All,NT2,Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,"₹ 1,58,600",940,1,"₹ 10,00,000","₹ 18,000",21686,21686,18282,18282,18282,-,-,-,-,-,15696,,,,,,,,
MAHA-Govt-All,OBC,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",19095,19435,18177,18319,18319,-,-,-,-,-,17639,,,,,,,,
MAHA-Govt-All,OPEN,Maharashtra,"VMMC, Solapur",MBBS,"₹ 1,58,600",763,1,"₹ 10,00,000","₹ 18,000",17793,18735,16170,17871,18330,-,-,-,-,-,14407,,,,,,,,
MAHA-Govt-AllW,OPEN,Maharashtra,"VMMC, Solapur",MBBS,"₹ 1,58,600",763,1,"₹ 10,00,000","₹ 18,000",16782,21128,16953,16953,18406,-,-,-,-,-,13792,,,,,,,,
MAHA-Govt-All,SEBC,Maharashtra,"Govt Med Coll, Aurangabad",MBBS,"₹ 1,58,600",1177,1,"₹ 10,00,000","₹ 18,000",-,-,18414,18414,18414,-,-,-,-,-,19699,,,,,,,,
