QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5,CR 2024 6,CR 2024 7,CR 2025 1
AIIMS SO,ST,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",50988,51303,55959,-,-,-,40833,40833,40833,-,-,-,-,36036
AIIMS SO,Open-PwD,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",154808,163909,338800,461433,-,-,197183,197183,197183,-,-,-,-,174486
AIIMS SO,EWS-PwD,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,259018,259018,259018,-,-,-,-,-
AIIMS SO,SC-PwD,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",596126,596126,596126,-,-,-,302955,302955,302955,-,-,-,-,536109
AIIMS SO,OBC-PwD,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",282378,282378,282378,-,-,-,398725,398725,398725,-,-,-,-,268965
AIIMS SO,ST-PwD,Punjab,"AIIMS, Bathinda",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,824563,824563,824563,-,-,-,-,-
AIIMS SO,Open,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",558,579,621,-,-,-,510,510,510,-,-,-,-,531
AIIMS SO,EWS,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",1209,1209,1209,-,-,-,1013,1013,1013,-,-,-,-,1582
AIIMS SO,OBC,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",1265,1323,1323,-,-,-,992,1033,1135,-,-,-,-,1142
AIIMS SO,SC,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",5087,5087,5087,-,-,-,5850,5850,12010,-,-,-,-,7030
AIIMS SO,ST,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",12872,12872,12872,-,-,-,15645,15645,15645,-,-,-,-,11713
AIIMS SO,Open-PwD,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",104768,104768,104768,-,-,-,72310,72310,72310,-,-,-,-,116405
AIIMS SO,EWS-PwD,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",196399,196399,196399,-,-,-,88582,88582,88582,-,-,-,-,119885
AIIMS SO,OBC-PwD,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",126923,126923,126923,-,-,-,118490,194428,194428,-,-,-,-,116547
AIIMS SO,SC-PwD,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",261423,261423,261423,-,-,-,278509,278509,278509,-,-,-,-,261657
AIIMS SO,ST-PwD,Madhya Pradesh,"AIIMS, Bhopal",MBBS,"₹ 1,350",833,0,₹ 0,"₹30,700",-,-,-,-,-,-,421491,421491,421491,-,-,-,-,636315
AIIMS SO,Open,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",491,496,603,-,-,-,594,620,655,-,-,-,-,706
AIIMS SO,OBC,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",1017,1065,1065,-,-,-,1252,1278,1278,-,-,-,-,1481
AIIMS SO,EWS,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",1617,1712,1712,-,-,-,1790,1940,1940,-,-,-,-,2259
AIIMS SO,SC,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",6199,6199,6720,-,-,-,7879,7879,7879,-,-,-,-,6034
AIIMS SO,ST,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",17653,20333,20333,-,-,-,17557,24290,24290,-,-,-,-,14786
AIIMS SO,Open-PwD,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",78395,78395,78395,-,-,-,57704,57704,57704,-,-,-,-,22426
AIIMS SO,OBC-PwD,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",259151,259151,259151,-,-,-,84392,84392,84392,-,-,-,-,241313
AIIMS SO,SC-PwD,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",279835,279835,279835,-,-,-,390305,390305,390305,-,-,-,-,207160
AIIMS SO,ST-PwD,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",-,-,-,-,-,-,707212,707212,707212,-,-,-,-,781610
AIIMS SO,EWS-PwD,Odisha,"AIIMS, Bhubaneswar",MBBS,"₹ 1,350",1165,0,₹ 0,"₹30,700",333805,333805,333805,-,-,-,-,-,-,-,-,-,-,271852
AIIMS SO,Open,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",2512,2789,2811,-,-,-,2388,2530,2588,-,-,-,-,1782
AIIMS SO,OBC,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",4097,4403,4644,-,-,-,3659,3892,4020,-,-,-,-,2894
AIIMS SO,EWS,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",4359,4359,4472,-,-,-,3933,4496,4496,-,-,-,-,3956
AIIMS SO,SC,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",27797,27797,29619,-,-,-,23380,23710,23710,-,-,-,-,16647
AIIMS SO,ST,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",50017,50017,50017,-,-,-,40731,40731,40731,-,-,-,-,39391
AIIMS SO,Open-PwD,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",246410,246410,246410,-,-,-,188797,188797,188797,-,-,-,-,221694
AIIMS SO,OBC-PwD,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",299334,299334,299334,-,-,-,338461,338461,338461,-,-,-,-,258759
AIIMS SO,ST-PwD,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,395767,395767,395767,-,-,-,-,-
AIIMS SO,SC-PwD,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",396056,396056,396056,-,-,-,676640,676640,676640,-,-,-,-,225964
AIIMS SO,EWS-PwD,Telangana,"AIIMS, Bibinagar",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",502025,563070,563070,-,-,-,-,-,-,-,-,-,-,273253
AIIMS SO,Open,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",2803,3150,3238,-,-,-,2401,2401,2401,-,-,-,-,2183
AIIMS SO,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",3799,3878,3905,-,-,-,3276,3386,3377,-,-,-,-,2959
AIIMS SO,EWS,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",4059,4578,4611,-,-,-,4012,4135,4132,-,-,-,-,3630
AIIMS SO,SC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",28426,32000,32000,-,-,-,23569,23569,23569,-,-,-,-,20587
AIIMS SO,ST,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",52297,52297,58954,118736,-,-,44528,44528,44528,-,-,-,-,40476
AIIMS SO,Open-PwD,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",345164,345164,345164,-,-,-,203256,203256,203256,-,-,-,-,241346
AIIMS SO,SC-PwD,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",708766,708766,708766,-,-,-,364418,364418,364418,-,-,-,-,486740
AIIMS SO,OBC-PwD,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",360455,360455,360455,-,-,-,388448,388448,388448,-,-,-,-,330044
AIIMS SO,Open,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",57,57,57,-,-,-,47,47,47,-,-,-,-,48
AIIMS SO,OBC,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",255,255,255,-,-,-,186,186,186,-,-,-,-,206
AIIMS SO,EWS,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",223,223,258,-,-,-,214,214,214,-,-,-,-,254
AIIMS SO,SC,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",989,989,989,-,-,-,647,647,647,-,-,-,-,644
AIIMS SO,ST,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",1624,1624,1624,-,-,-,1150,1150,1150,-,-,-,-,1405
AIIMS SO,Open-PwD,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",1018,1018,1018,-,-,-,18603,18603,18603,-,-,-,-,4801
AIIMS SO,OBC-PwD,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",20882,20882,20882,-,-,-,27356,27356,27356,-,-,-,-,31622
AIIMS SO,EWS-PwD,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",-,-,-,-,-,-,42719,42719,42719,-,-,-,-,-
AIIMS SO,SC-PwD,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",77386,77386,77386,-,-,-,159816,159816,159816,-,-,-,-,-
AIIMS SO,ST-PwD,Delhi,"AIIMS, Delhi",MBBS,"₹ 1,350",3194,0,₹ 0,"₹30,700",145610,145610,145610,-,-,-,141178,398369,398369,-,-,-,-,296155
AIIMS SO,Open,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",3654,4218,4732,6373,-,-,3106,3361,3764,7381,16179,-,-,3164
AIIMS SO,OBC,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",4474,4711,4777,7123,-,-,3891,3988,4181,-,-,-,-,3784
AIIMS SO,EWS,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",4609,4908,5167,-,-,-,4684,4809,4828,-,-,-,-,4493
AIIMS SO,SC,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",38571,38571,42628,45486,-,-,27749,30075,34078,-,-,-,-,28136
AIIMS SO,ST,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",67906,66665,74873,-,-,-,56430,61493,61493,-,-,-,-,51396
AIIMS SO,OBC-PwD,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",389744,389744,389744,-,-,-,396672,167550,248064,-,-,-,-,376997
AIIMS SO,Open-PwD,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",335216,335216,335216,-,-,-,332094,332094,332094,-,-,-,-,305719
AIIMS SO,SC-PwD,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",656117,656117,656117,-,-,-,564596,564596,564596,-,-,-,-,534447
AIIMS SO,EWS-PwD,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",556686,556686,556686,-,-,-,-,-,-,-,-,-,-,-
AIIMS SO,ST-PwD,Jharkhand,"AIIMS, Deoghar",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",577520,840403,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS SO,Open,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",2223,2483,2600,-,-,-,2066,2319,2448,-,-,-,-,2091
AIIMS SO,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",2850,2907,2907,-,-,-,2611,2731,2749,-,-,-,-,2654
AIIMS SO,EWS,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",3406,3509,3509,-,-,-,3237,3254,3254,-,-,-,-,3081
AIIMS SO,SC,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",28739,31109,31109,-,-,-,22145,21933,21933,-,-,-,-,21412
AIIMS SO,ST,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",52521,52521,52521,-,-,-,44300,47073,47073,-,-,-,-,45366
AIIMS SO,SC-PwD,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",494218,494218,494218,-,-,-,414614,247138,247138,-,-,-,-,596639
AIIMS SO,Open-PwD,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",261784,233414,233414,-,-,-,262200,262200,262200,-,-,-,-,294578
AIIMS SO,OBC-PwD,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",280652,280652,280652,-,-,-,314536,296509,296509,-,-,-,-,338406
AIIMS SO,EWS-PwD,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",-,-,-,-,-,-,345066,345066,345066,-,-,-,-,396329
AIIMS SO,ST-PwD,Uttar Pradesh,"AIIMS, Gorakhpur",MBBS,"₹ 1,350",Info Not Available,0,₹ 0,"₹30,700",675151,675151,675151,-,-,-,-,-,-,-,-,-,-,-
AIIMS SO,Open,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",3839,4417,4848,7155,-,-,3476,3700,3784,-,-,-,-,3177
AIIMS SO,OBC,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",4753,4909,5358,8454,-,20705,4463,4701,4746,-,-,-,-,4063
AIIMS SO,EWS,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",5522,5701,6204,-,-,-,5035,5164,5218,7484,-,-,-,5310
AIIMS SO,SC,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",37989,39941,42968,-,-,-,27801,30968,30968,-,-,-,-,30794
AIIMS SO,ST,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",53025,54941,54941,-,-,-,54515,54623,54623,99762,-,-,-,54984
AIIMS SO,Open-PwD,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",188698,188698,188698,-,-,-,117767,117767,117767,-,-,-,-,309667
AIIMS SO,OBC-PwD,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",398123,398123,398123,-,-,-,349245,349245,349245,-,-,-,-,340348
AIIMS SO,EWS-PwD,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,412043,412043,412043,-,-,-,-,-
AIIMS SO,SC-PwD,Assam,"AIIMS, Guwahati",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",747255,747255,747255,-,-,-,611150,611150,611150,-,-,-,-,730492
AIIMS SO,Open,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",3888,4176,4558,8636,-,-,3787,3787,3787,-,-,-,-,3389
AIIMS SO,OBC,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",4812,5410,5484,8868,-,-,4567,4718,4718,-,-,-,-,4085
AIIMS SO,EWS,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",5259,5259,5653,-,-,-,5197,5204,5307,-,-,-,-,4603
AIIMS SO,SC,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",37424,40865,40865,-,-,-,30320,31135,31094,-,-,-,-,32194
AIIMS SO,ST,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",64664,64664,64664,-,-,-,40302,46129,46129,-,-,-,-,43200
AIIMS SO,Open-PwD,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",315918,315918,315918,-,-,-,295188,295188,295188,-,-,-,-,221837
AIIMS SO,EWS-PwD,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,411550,411550,411550,-,-,-,-,440047
AIIMS SO,SC-PwD,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,600934,414614,414614,-,-,-,-,518444
AIIMS SO,ST-PwD,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,540974,540974,540974,-,-,-,-,770273
AIIMS SO,OBC-PwD,Jammu and Kashmir,"AIIMS, Jammu",MBBS,"₹ 1,350",750,0,₹ 0,"₹30,700",-,-,-,-,-,-,397717,426772,627122,-,-,-,-,354680
AIIMS SO,Open,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",497,497,534,-,-,-,374,374,374,-,-,-,-,392
AIIMS SO,OBC,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",1050,1072,1086,-,-,-,695,695,695,-,-,-,-,766
AIIMS SO,EWS,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",1082,1082,1082,-,-,-,805,805,805,-,-,-,-,1153
AIIMS SO,SC,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",6075,6225,6225,-,-,-,4912,4912,4912,-,-,-,-,6920
AIIMS SO,ST,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",11350,11350,11350,-,-,-,10281,10281,10281,-,-,-,-,7353
AIIMS SO,Open-PwD,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",68115,68115,68115,-,-,-,51386,92797,92797,-,-,-,-,87801
AIIMS SO,OBC-PwD,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",84703,84703,84703,-,-,-,177218,177218,177218,-,-,-,-,98647
AIIMS SO,SC-PwD,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",246203,246203,246203,-,-,-,353229,353229,353229,-,-,-,-,234585
AIIMS SO,EWS-PwD,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",323880,323880,323880,-,-,-,-,-,-,-,-,-,-,121786
AIIMS SO,ST-PwD,Rajasthan,"AIIMS, Jodhpur",MBBS,"₹ 1,350",960,0,₹ 0,"₹30,700",305118,305118,305118,-,-,-,-,-,-,-,-,-,-,826710
AIIMS SO,Open,West Bengal,"AIIMS, Kalyani",MBBS,"₹ 1,350",300,0,₹ 0,"₹30,700",1985,2103,2176,-,-,-,2149,2435,2435,-,-,-,-,2276
AIIMS SO,OBC,West Bengal,"AIIMS, Kalyani",MBBS,"₹ 1,350",300,0,₹ 0,"₹30,700",3648,3744,3848,-,-,-,3245,3374,3445,-,-,-,-,3406
