CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2023 7,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,Institute,Course,Quota,Category
14641,23702,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-FEM
31023,37824,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
-,-,-,-,-,-,-,-,104924,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-FEM
-,127102,-,-,-,-,-,-,169457,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCA-FEM
73116,73116,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-GEN
116519,133871,-,-,-,-,-,-,-,-,-,"Andhra Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-GEN
-,-,-,-,-,-,-,-,-,-,35804,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-GEN
-,-,-,-,-,-,-,31291,31291,33713,-,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,57074,56328,59241,-,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
19774,37213,-,-,-,-,-,-,-,-,-,"Apollo IMS&R, Chittoor",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,22100,22128,31682,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-FEM
-,-,-,-,-,-,-,27320,27320,36406,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,57728,57728,57728,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
-,-,-,-,-,-,-,95987,95987,115333,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
30490,54856,-,-,-,-,-,-,-,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
25750,54521,74406,-,-,-,-,-,-,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
-,-,-,-,-,-,-,104924,-,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-GEN
-,-,-,-,-,-,-,-,182211,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-GEN
-,142425,-,-,-,-,-,-,-,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCE-GEN
-,164721,-,-,-,-,-,-,-,-,-,"Dr PSI Med Coll, Chinoutpalli",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-FEM
-,-,-,-,-,-,-,-,-,-,34647,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS APUR,BCD-GEN
12908,22995,-,-,-,-,-,-,-,25214,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,23409,23409,29280,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,29668,29668,29668,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
20903,39166,-,-,-,-,-,-,-,-,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-FEM
-,-,-,-,-,-,-,-,111301,-,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-GEN
-,-,-,-,-,-,-,125945,-,-,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCB-GEN
-,131408,-,-,-,-,-,-,-,-,-,"Govt Med Coll, Ananthapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-FEM
-,-,-,-,-,-,-,13915,15288,23783,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS AP LOC,OPEN-GEN
-,-,-,-,-,-,-,15357,15357,25780,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS AP LOC,BCB-GEN
-,-,-,-,-,-,-,64838,69938,74684,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS AP LOC,ST-GEN
-,-,-,-,-,-,-,17611,17611,30803,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS APUR,BCC-FEM
21865,30490,-,-,-,-,-,19347,25618,30664,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
-,-,-,-,-,-,-,21549,21549,34641,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
-,-,-,-,-,-,-,34586,34586,46675,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
-,-,-,-,-,-,-,-,-,-,33083,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
14938,-,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
-,32461,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-FEM
73551,89241,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
14234,38452,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
28117,53789,56030,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
-,-,-,-,-,-,-,-,-,24709,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
20997,36214,-,-,-,-,-,26505,26505,30212,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
-,-,-,-,-,-,-,19763,19763,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,BCC-FEM
13775,25346,31765,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
12139,-,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS UNR,OPEN-GEN
-,27373,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-NS UNR,BCB-GEN
-,-,-,-,-,-,-,95829,95829,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv APUR,BCB-GEN
-,-,-,-,-,-,-,-,161396,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv APUR,BCB-FEM
92126,92126,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv UNR,ST-GEN
-,95776,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv UNR,SC-FEM
99582,123325,-,-,-,-,-,-,-,-,-,"Govt Siddhartha, Vijaywada",ANAESTHESIOLOGY,AP Govt-Serv UNR,BCB-GEN
-,-,-,-,-,-,-,26611,31122,38659,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS APUR,BCB-GEN
20034,29325,-,-,-,-,-,-,-,-,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-FEM
20092,36502,-,-,-,-,-,23657,23657,30968,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,31572,30968,39207,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
-,-,-,-,-,-,-,40385,40385,40385,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
42074,54429,-,-,-,-,-,-,-,-,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-FEM
96486,96486,-,-,-,-,-,-,-,-,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-FEM
-,-,-,-,-,-,-,-,190766,-,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-FEM
-,153285,148257,-,-,-,-,-,-,-,-,"GreatEastern MedSch,Srikakulam",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCB-FEM
-,-,-,-,-,-,-,23783,23546,34822,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,38567,38567,43484,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-FEM
-,-,-,-,-,-,-,-,-,49192,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-FEM
-,-,-,-,-,-,-,23299,24382,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
23702,35912,-,-,-,-,-,-,-,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
34442,44159,-,-,-,-,-,-,-,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
24814,56425,-,-,-,-,-,-,-,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,-,157396,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-FEM
-,157127,-,-,-,-,-,-,-,-,-,"GSL Med Coll, Rajahmundry",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-GEN
-,-,-,-,-,-,-,16193,16193,16193,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS APUR,BCE-FEM
17637,17637,-,-,-,-,-,-,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS APUR,BCA-GEN
13585,26106,-,-,-,-,-,-,9537,21549,32716,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
-,26115,-,-,-,-,-,11634,16839,22338,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
30681,38714,-,-,-,-,-,32410,35029,35029,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
-,-,-,-,-,-,-,70772,70772,88140,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-FEM
-,-,-,-,-,-,-,13437,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,BCC-FEM
15053,-,-,-,-,-,-,-,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
21080,21080,-,-,-,-,-,-,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-GEN
-,-,-,-,-,-,-,-,186549,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCE-GEN
113026,113026,-,-,-,-,-,-,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-FEM
-,113604,-,-,-,-,-,-,-,-,-,"Guntur Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-FEM
21218,37425,46952,-,-,-,-,-,-,-,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-GEN
-,-,-,-,-,-,-,30361,28124,36752,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,55232,61117,62635,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-FEM
26584,62014,-,-,-,-,-,-,-,-,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
-,-,-,54742,-,-,-,-,-,-,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-NS UNR,OPEN-GEN
-,-,-,-,-,-,-,-,192320,-,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCA-GEN
-,167279,196719,-,-,-,-,-,-,-,-,"GVP Med Coll, Vizag",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-GEN
-,-,-,-,-,-,-,17770,17770,17770,-,"Homi Bhabha CancerHosp,Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,34397,34397,34713,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS APUR,BCD-GEN
24276,40649,48118,-,-,-,-,-,-,-,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS APUR,BCB-GEN
23645,33242,48030,-,-,-,-,24661,25363,33648,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,42930,42930,42930,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
26115,46242,57068,-,-,-,-,-,-,-,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-GEN
-,-,-,56621,-,-,-,-,-,-,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-NS UNR,OPEN-GEN
-,-,-,-,-,-,-,-,185426,-,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-FEM
-,179226,-,-,-,-,-,-,-,-,-,"Katuri Med Coll, Guntur",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCA-GEN
-,-,-,-,-,-,-,23818,23783,32880,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
-,-,-,-,-,-,-,34335,34335,34879,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
27373,42140,-,-,-,-,-,32627,32627,42165,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-FEM
-,-,-,-,-,-,-,96378,96378,96378,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
22909,36391,-,-,-,-,-,-,-,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
31745,69047,-,-,-,-,-,-,-,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-FEM
34802,54475,-,-,-,-,-,-,-,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-NS UNR,SC-GEN
-,144458,-,-,-,-,-,-,-,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-Serv APUR,SC-GEN
-,-,-,-,-,-,-,-,154645,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-GEN
-,121874,137519,-,-,-,-,-,-,-,-,"Konaseema IMS, Amalapuram",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-FEM
-,-,-,-,-,-,-,64724,61277,62735,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS APUR,ST-GEN
14069,20903,-,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS APUR,BCB-GEN
12112,15625,-,-,-,-,-,11278,14780,19763,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-FEM
-,-,-,-,-,-,-,11976,19084,24499,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,36078,39325,50599,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-FEM
-,-,-,-,-,-,-,-,-,79019,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
-,-,-,-,-,-,-,17071,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
-,-,-,-,-,-,-,18995,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,BCC-GEN
14343,24154,-,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
17756,29173,-,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
14787,32631,-,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-GEN
-,-,-,-,-,-,-,-,112897,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-FEM
-,-,-,-,-,-,-,116917,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-FEM
-,-,-,-,-,-,-,-,133902,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-GEN
115950,115950,-,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-GEN
95220,122676,155197,-,-,-,-,-,-,-,-,"Kurnool Med Coll, Kurnool",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-GEN
-,-,-,-,-,-,-,25363,-,35098,36609,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-NS LOC,OPEN-GEN
-,-,-,-,-,-,-,36531,36531,36531,-,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-GEN
25282,66583,-,-,-,-,-,-,27197,-,-,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,168044,-,-,-,-,-,-,-,-,-,"Maharajah IMS, Vizianagaram",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-GEN
-,-,-,-,-,-,-,24737,23709,33552,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS APUR,BCB-GEN
-,-,-,-,-,-,-,-,-,-,35792,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-GEN
-,-,-,-,-,-,-,30579,30579,31291,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCD-GEN
-,-,-,-,-,-,-,30803,30803,46396,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCC-GEN
-,-,-,-,-,-,-,56328,56393,56393,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-FEM
-,165449,-,-,-,-,-,75353,75353,112735,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,ST-GEN
24323,33737,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCB-GEN
26136,37104,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
39437,49472,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
22666,55541,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-FEM
-,-,-,-,-,-,-,-,151999,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-Serv LOC,BCD-FEM
118794,-,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-Serv LOC,OPEN-GEN
-,162843,-,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-Serv LOC,SC-FEM
-,174300,139059,-,-,-,-,-,-,-,-,"Narayana Med Coll, Nellore",ANAESTHESIOLOGY,AP Govt-Serv LOC,ST-GEN
27056,60986,85291,-,-,-,-,-,38756,48531,-,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,AP Govt-NS APUR,MIN-GEN-MSM
-,75585,-,64152,128081,-,-,45740,51652,55187,-,"Nimra Inst of Med Sci, Krishna",ANAESTHESIOLOGY,AP Govt-NS LOC,MIN-GEN-MSM
-,-,-,-,-,-,-,-,-,33736,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,OPEN-GEN
-,-,-,-,-,-,-,30811,24467,-,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS APUR,BCD-GEN
-,-,-,-,-,-,-,56537,56537,56537,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,SC-GEN
39602,46685,-,-,-,-,-,-,-,-,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCA-FEM
36502,52968,-,-,-,-,-,-,-,-,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-NS LOC,BCE-GEN
-,-,-,-,-,-,-,97093,108857,-,-,"NRI Inst of Med Sci, Vizag",ANAESTHESIOLOGY,AP Govt-Serv APUR,OPEN-GEN
