QUOTA,CATEGORY,STATE,INSTITUTE,COURSE,FEE,STIPEND YEAR 1,BOND YEARS,BOND PENALTY,BEDS,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
AIQ,EWS,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,46,46,46,-,-,230,230,230,-,-
AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1462,132,185,185,-,-,89,189,242,-,-
AIQ,GEN,Delhi,"UCMS, Delhi",DERMATOLOGY,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,69,69,167,-,-,243,243,243,-,-
AIQ,OBC,Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,"₹ 2,11,600","₹ 80,904",1,"₹ 40,00,000",1257,-,-,-,-,-,790,1068,244,-,-
AIQ,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,-,-,-,-,-,245,245,245,-,-
AIQ,OBC,Tamil Nadu,"Madras Med Coll, Chennai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",7285,364,364,364,-,-,226,247,247,-,-
AIQ,EWS,Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,161,161,161,-,-,248,248,248,-,-
AIQ,GEN,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹ 54,700","₹1,09,955",2,"₹ 40,00,000",4500,225,421,421,-,-,146,295,249,-,-
AIQ,GEN,Rajasthan,"RNT, Udaipur",RADIO DIAGNOSIS,"₹ 12,812","₹ 82,800",2,"₹ 25,00,000",2206,448,516,516,-,-,251,251,251,-,-
AIQ,GEN,Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",RADIO DIAGNOSIS,"₹ 11,000","₹82,000",0,₹ 0,Info Not Available,628,628,628,-,-,254,254,254,-,-
AIQ,OBC,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹ 34,500","₹ 1,07,000",0,₹0,967,504,762,762,-,-,256,256,256,-,-
AIQ,GEN,Delhi,"VMMC, Delhi",GENERAL SURGERY,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,146,146,146,-,-,258,258,258,-,-
AIQ,GEN,Uttar Pradesh,"IMS, Varanasi",GENERAL MEDICINE,"₹ 48,226","₹ 1,00,706",0,₹0,1165,160,195,195,-,-,178,260,260,-,-
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹ 1,24,150","₹56,250",3,"₹ 50,00,000",1993,339,339,438,-,-,263,263,263,-,-
AIQ,OBC,Delhi,"ABVIMS , Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,204,204,204,-,-,266,266,266,-,-
IP,GEN,Delhi,"ABVIMS , Delhi",RADIO DIAGNOSIS,"₹ 41,000","₹ 1,20,965",0,₹ 0,1626,451,451,451,-,-,267,267,267,-,-
AIQ,OBC,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1462,324,686,816,-,-,229,268,268,-,-
DU,GEN,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,630,630,630,-,-,278,278,278,-,-
AIQ,EWS,Uttar Pradesh,"IMS, Varanasi",RADIO DIAGNOSIS,"₹ 48,226","₹ 1,00,706",0,₹0,1165,473,577,577,-,-,279,279,279,-,-
AIQ,OBC,Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,714,-,-,-,-,-,244,292,292,-,-
AIQ,GEN,Maharashtra,"Seth GS, Mumbai",DERMATOLOGY,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,-,-,-,-,-,304,502,295,-,-
AIQ,GEN,Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,"₹ 12,812","₹ 82,800",2,"₹ 25,00,000",3101,-,-,-,-,-,308,308,308,-,-
DNB Post MBBS,GEN,Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,"₹1,25,000","₹92,000",0,₹0,675,369,440,440,-,-,300,324,317,-,-
DU,EWS,Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,3593,3593,3593,-,-,-,-,321,-,-
AIQ,GEN,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,117,122,122,-,-,150,166,324,-,-
AIQ,OBC,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,305,334,506,-,-,328,328,328,-,-
DNB Post MBBS,GEN,Telangana,"Indo-American Cancer,Hyderabad",DNBNUCLEAR MEDICINE,"₹1,25,000","₹ 50,686",0,₹0,500,4946,5010,6727,-,-,4001,4145,329,7798,-
AIQ,OBC,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹ 72,000","₹1,11,780",1,"₹20,00,000",1498,166,166,166,-,-,234,234,333,-,-
AIQ,OBC,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,245,253,406,-,-,314,314,345,-,-
AIQ,OBC,Punjab,"Govt Med Coll, Patiala",RADIO DIAGNOSIS,"₹ 1,25,000","₹ 67,968",1,"₹ 10,00,000",1130,1328,1328,2017,-,-,350,350,350,-,-
AIQ,GEN,Bihar,"IGIMS, Patna",RADIO DIAGNOSIS,"₹ 1,60,000","₹ 1,05,000",0,₹0,1062,413,413,413,-,-,319,353,353,-,-
AIQ,EWS,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹ 11,647","₹ 82,800",2,"₹ 25,00,000",5702,537,804,804,-,-,357,357,357,-,-
AIQ,GEN,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1300,231,361,361,-,-,290,362,362,-,-
AIQ,OBC,Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,"₹ 69,470","₹57,876",1,"₹ 50,00,000",3025,450,450,450,-,-,367,367,367,-,-
AIQ,GEN,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",3518,285,285,285,-,-,369,369,369,-,-
AIQ,GEN,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",ENT,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1462,1355,6483,6483,-,-,371,371,371,-,-
AIQ,GEN,Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,"₹ 30,000","₹1,00,800",1,"₹ 40,00,000",1557,312,458,458,-,-,275,378,378,-,-
AIQ,GEN,Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,"₹ 30,000","₹1,00,800",1,"₹ 40,00,000",1557,503,1125,1465,-,-,380,380,380,-,-
AIQ,OBC,Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,"₹ 54,700","₹1,09,955",2,"₹ 40,00,000",4500,756,756,1390,-,-,318,382,382,-,-
DU,GEN,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,453,453,453,-,-,356,383,383,-,-
AIQ,GEN,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1296,306,306,306,-,-,193,242,394,-,-
AIQ,GEN,Telangana,"ESIC Med Coll,Sanath Nagar",RADIO DIAGNOSIS,"₹ 2,50,000","₹ 1,26,927",2,"₹ 10,00,000",690,-,-,-,-,-,404,404,404,-,-
AIQ,EWS,Delhi,"MAMC, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,112,112,112,-,-,66,264,405,-,-
AIQ,SC,Maharashtra,"Seth GS, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,2678,2678,2678,-,-,406,406,406,-,-
AIQ,OBC,Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",1661,409,409,409,-,-,280,413,413,-,-
AIQ,OBC,Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,436,480,829,-,-,424,424,424,-,-
AIQ,GEN,Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,"₹ 2,50,000","₹ 1,15,853",2,"₹ 10,00,000",625,485,606,606,-,-,352,425,425,-,-
AIQ,EWS,Chandigarh,"GMC, Chandigarh",RADIO DIAGNOSIS,"₹ 34,500","₹ 1,07,000",0,₹0,967,426,426,426,-,-,433,433,433,-,-
AIQ,GEN,Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,"₹ 1,24,150","₹56,250",3,"₹ 50,00,000",1993,351,351,351,-,-,115,115,435,1490,-
AIQ,EWS,Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,"₹ 1,24,150","₹56,250",3,"₹ 50,00,000",1993,1210,1210,1210,-,-,437,437,437,-,-
AIQ,GEN,Maharashtra,"Tata Memorial, Mumbai",RADIO DIAGNOSIS,"₹ 1,05,500","₹1,00,800",1,"₹ 25,00,000",614,440,657,657,-,-,377,410,439,-,-
AIQ,GEN,Karnataka,"Mysore Med Coll, Mysore",RADIO DIAGNOSIS,"₹ 1,24,150","₹56,250",3,"₹ 50,00,000",1050,572,728,575,-,-,294,336,443,-,-
AIQ,SC,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,5990,5990,5990,-,-,445,445,445,-,-
AIQ,GEN,Maharashtra,"Topiwala, Mumbai",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1300,338,467,482,1685,-,273,259,447,-,-
AIQ,GEN,Rajasthan,"Govt Med Coll, Kota",RADIO DIAGNOSIS,"₹ 12,812","₹ 82,800",2,"₹ 25,00,000",2581,611,627,627,-,-,449,449,449,-,-
AIQ,OBC,Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,"₹ 11,647","₹ 82,800",2,"₹ 25,00,000",5702,946,1175,1175,-,-,450,450,450,-,-
AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",DERMATOLOGY,"₹ 16,300","₹ 96,000",0,₹0,594,2223,2223,2223,-,-,451,451,451,-,-
AIQ,OBC,Telangana,"NIMS, Hyderabad",GENERAL MEDICINE,"₹ 72,000","₹1,11,780",1,"₹20,00,000",1498,362,362,362,-,-,419,419,453,-,-
AIQ,EWS,Delhi,"VMMC, Delhi",GENERAL MEDICINE,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,175,175,175,-,-,264,456,456,-,-
AIQ,OBC,Delhi,"MAMC, Delhi",DERMATOLOGY,"₹ 57,600","₹ 1,26,927",0,₹ 0,2800,-,-,-,-,-,466,466,466,-,-
AIQ,GEN,Meghalaya,"NEIGRIHMS, Shillong",RADIO DIAGNOSIS,"₹ 16,300","₹ 96,000",0,₹0,594,508,524,732,-,-,447,447,469,-,-
DU,GEN,Delhi,"UCMS, Delhi",GENERAL MEDICINE,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,788,788,788,-,-,397,397,476,-,-
AIQ,GEN,Uttar Pradesh,"JNMC , Aligarh",RADIO DIAGNOSIS,"₹38,000","₹ 1,08,000",0,₹0,1269,152,152,152,-,-,324,329,481,-,-
AIQ,EWS,Telangana,"NIMS, Hyderabad",RADIO DIAGNOSIS,"₹ 72,000","₹1,11,780",1,"₹20,00,000",1498,-,-,-,-,-,483,483,483,-,-
AIQ,EWS,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹ 25,000","₹58,289",1,"₹20,00,000",4800,901,847,901,-,-,740,485,485,-,-
AIQ,OBC,Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,"₹ 37,500","₹1,08,672",2,"₹ 40,00,000",Info Not Available,676,676,676,-,-,382,486,486,-,-
AIQ,EWS,Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,"₹ 30,000","₹1,00,800",1,"₹ 40,00,000",1557,577,716,716,-,-,488,488,488,-,-
AIQ,GEN,Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,"₹ 69,470","₹57,876",1,"₹ 50,00,000",2126,321,321,321,-,-,202,494,494,-,-
AIQ,GEN,Tamil Nadu,"Kilpauk Med Coll, Chennai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",1700,573,573,573,-,-,210,498,498,-,-
AIQ,GEN,Rajasthan,"SMS, Jaipur",DERMATOLOGY,"₹ 11,647","₹ 82,800",2,"₹ 25,00,000",5702,516,1095,1095,-,-,374,374,502,-,-
AIQ,GEN,Punjab,"Govt Med Coll, Patiala",RADIO DIAGNOSIS,"₹ 1,25,000","₹ 67,968",1,"₹ 10,00,000",1130,431,825,783,-,-,349,503,503,-,-
AIQ,GEN,Maharashtra,"Govt Med Coll, Nagpur",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1866,238,343,467,-,-,268,319,504,-,-
AIQ,EWS,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹ 1,25,000","₹ 1,00,980",0,₹ 0,2080,464,464,464,-,-,505,505,505,-,-
AIQ,GEN,West Bengal,"Nilratan Sircar, Kolkata",RADIO DIAGNOSIS,"₹ 12,000","₹49,884",3,"₹ 30,00,000",1920,893,1215,1215,-,-,399,508,508,-,-
DU,GEN,Delhi,"UCMS, Delhi",DERMATOLOGY,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,-,-,-,-,-,509,509,509,-,-
AIQ,GEN,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,"₹ 11,647","₹ 82,800",2,"₹ 25,00,000",5702,466,478,478,787,2515,455,473,510,-,-
AIQ,EWS,Maharashtra,"BJMC, Pune",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1296,-,-,-,-,-,512,512,512,-,-
AIQ,OBC,Delhi,"VMMC, Delhi",DERMATOLOGY,"₹ 41,000","₹ 1,20,965",0,₹ 0,1550,-,-,-,-,-,517,517,517,-,-
AIQ,EWS,Delhi,"UCMS, Delhi",RADIO DIAGNOSIS,"₹ 57,600","₹ 1,26,927",0,₹ 0,1000,145,582,586,-,-,485,732,519,-,-
AIQ,GEN,Maharashtra,"Grant Med Coll, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2844,283,580,792,-,-,482,482,522,-,-
AIQ,GEN,Maharashtra,"HBT & RN Cooper, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",940,846,846,846,-,-,524,524,524,-,-
AIQ,GEN,Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,"₹ 1,43,300","₹92,522",1,"₹50,00,000",822,317,732,893,-,-,525,525,525,-,-
AIQ,GEN,Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,"₹ 25,000","₹58,289",1,"₹20,00,000",4800,405,405,405,-,-,333,272,526,-,-
AIQ,OBC,Chandigarh,"GMC, Chandigarh",GENERAL MEDICINE,"₹ 34,500","₹ 1,07,000",0,₹0,967,971,971,971,-,-,529,529,529,-,-
AIQ,GEN,Uttar Pradesh,"IMS, Varanasi",DERMATOLOGY,"₹ 48,226","₹ 1,00,706",0,₹0,1165,388,418,418,-,-,295,538,538,-,-
AIQ,OBC,Tamil Nadu,"Madurai Med Coll, Madurai",RADIO DIAGNOSIS,"₹ 50,000","₹ 52,451",2,"₹ 40,00,000",3518,360,360,360,-,-,511,636,540,-,-
AIQ,GEN,West Bengal,"IPGMER, Kolkata",GENERAL MEDICINE,"₹ 12,000","₹49,884",3,"₹ 30,00,000",2300,165,165,165,-,-,201,201,545,-,-
AIQ,OBC,Haryana,"Pt BD Sharma, Rohtak",RADIO DIAGNOSIS,"₹ 1,25,000","₹ 1,00,980",0,₹ 0,2080,650,1025,1025,-,-,292,549,549,-,-
AIQ,EWS,Uttar Pradesh,"IMS, Varanasi",GENERAL MEDICINE,"₹ 48,226","₹ 1,00,706",0,₹0,1165,-,-,-,-,-,187,187,552,-,-
AIQ,EWS,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1462,570,665,665,-,-,554,554,554,-,-
AIQ,GEN,West Bengal,"Medical College, Kolkata",GENERAL MEDICINE,"₹ 12,000","₹49,884",3,"₹ 30,00,000",2668,493,584,584,-,-,344,480,561,-,-
AIQ,EWS,Maharashtra,"Topiwala, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",1300,1027,757,757,-,-,562,562,562,-,-
AIQ,GEN,Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,"₹40,000","₹ 1,00,980",2,"₹ 40,00,000",Info Not Available,602,856,856,-,-,565,565,565,-,-
AIQ,EWS,Gujarat,"Medical College, Baroda",RADIO DIAGNOSIS,"₹ 30,000","₹1,00,800",1,"₹ 40,00,000",1250,1474,1474,1474,-,-,569,569,569,-,-
AIQ,GEN,West Bengal,"Medical College, Kolkata",DERMATOLOGY,"₹ 12,000","₹49,884",3,"₹ 30,00,000",2668,1106,1249,1106,-,-,573,573,573,-,-
DU,GEN,Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,"₹ 57,600","₹ 1,26,927",0,₹ 0,877,585,585,585,-,-,383,583,583,-,-
AIQ,EWS,Maharashtra,"Seth GS, Mumbai",GENERAL MEDICINE,"₹ 1,43,300","₹92,522",1,"₹50,00,000",2250,366,366,366,-,-,405,405,585,-,-
